sample_id,expected_label,expected_outcome,risk_family,static_prediction,full_prediction,static_correct,full_correct,coverage_state,risk_chain_status,security_resolution_status,transition_reason
BV3-0043,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0044,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0045,malicious,confirmed_violation,Private data collection and upload,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0046,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0047,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0048,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0049,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0050,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,max_steps_exhausted,confirmed_allowed,unresolved_before_guard,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0051,malicious,confirmed_violation,Reverse shell / remote control,malicious,benign,True,False,target_reached_no_flow,no_sensitive_flow_observed,resolved_no_flow,runtime_observed_allowed_or_no_flow_overrode_static_risk
BV3-0052,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0053,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0054,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0055,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0056,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0057,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0058,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0059,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0060,malicious,confirmed_violation,Untrusted download and execute,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0061,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0062,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0063,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0064,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0065,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0066,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0067,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0068,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0069,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0070,malicious,confirmed_violation,Credential access and exfiltration,malicious,benign,True,False,complete,confirmed_allowed,resolved_allowed,runtime_observed_allowed_or_no_flow_overrode_static_risk
BV3-0071,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0072,malicious,confirmed_violation,LLM-mediated disclosure,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0073,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0074,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0075,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,complete,confirmed_allowed,resolved_allowed,runtime_observed_allowed_or_no_flow_overrode_static_risk
BV3-0076,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0077,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0078,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0079,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0080,malicious,confirmed_violation,Resource abuse,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0081,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0082,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0083,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0084,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0085,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0086,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0087,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0088,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0089,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0090,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0091,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0092,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0093,malicious,confirmed_violation,Resource abuse,malicious,benign,True,False,environment_missing,confirmed_allowed,unresolved_before_guard,runtime_observed_allowed_or_no_flow_overrode_static_risk
BV3-0094,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,malicious,True,True,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0095,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0096,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0097,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0098,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0099,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0100,malicious,confirmed_violation,Persistence,malicious,malicious,True,True,max_steps_exhausted,confirmed_allowed,unresolved_before_guard,same_or_non_decisive_transition
BV3-0101,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0102,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0103,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0104,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0105,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0106,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0107,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0108,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0109,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0110,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0111,malicious,confirmed_violation,LLM-mediated disclosure,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0112,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0113,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0114,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0115,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0116,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0117,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0118,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0119,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0120,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0121,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0122,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,path_incomplete,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0123,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0124,malicious,confirmed_violation,LLM-mediated disclosure,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0126,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0127,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0128,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0129,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0130,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,path_incomplete,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0131,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0132,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0133,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0134,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0135,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0136,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0137,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0138,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0139,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0140,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0141,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0142,malicious,confirmed_violation,Reverse shell / remote control,malicious,benign,True,False,target_reached_no_flow,no_sensitive_flow_observed,resolved_no_flow,runtime_observed_allowed_or_no_flow_overrode_static_risk
BV3-0143,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0144,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0145,malicious,confirmed_violation,Resource abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0146,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0147,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0148,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0149,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0150,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0151,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0152,malicious,confirmed_violation,Persistence,malicious,benign,True,False,path_incomplete,confirmed_allowed,unresolved_execution,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0153,malicious,confirmed_violation,Permission or privilege expansion,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0154,malicious,confirmed_violation,Destructive modification / ransomware,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0155,malicious,confirmed_violation,Reverse shell / remote control,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0156,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0157,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0158,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0159,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0160,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0161,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0162,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0163,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,timeout,no_sensitive_flow_observed,unresolved_before_sink,same_or_non_decisive_transition
BV3-0164,malicious,confirmed_violation,Supply-chain or dependency abuse,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0165,malicious,confirmed_violation,Unauthorized external actions,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0166,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0167,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0168,malicious,confirmed_violation,Credential access and exfiltration,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0169,malicious,confirmed_violation,Private data collection and upload,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0170,malicious,confirmed_violation,LLM-mediated disclosure,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0171,malicious,confirmed_violation,Untrusted download and execute,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
BV3-0172,malicious,confirmed_violation,Instruction override and hidden behavior,malicious,benign,True,False,path_incomplete,confirmed_allowed,resolved_allowed,runtime_execution_or_path_incomplete_suppressed_static_risk
BV3-0173,malicious,confirmed_violation,Multi-stage compositional behavior,malicious,malicious,True,True,complete,confirmed_violation,resolved_violation,same_or_non_decisive_transition
