skill_id,name,skill_root,status,risk_level_name,risk_level,risk_score,final_risk_level,severity_label,evidence_strength,execution_outcome,skip_reason,skip_category,selected_execution_profile,recommended_execution_profile,execution_feasibility,root_cause,root_cause_detail,root_cause_v2_mechanism_class,root_cause_v2_primary_driver,root_cause_v2_evidence_status,detected_behaviors,capability_tags,llm_enabled,started_at,finished_at
mnt_e_dangerous_skills_agent-deep-research,deep-research,/mnt/e/dangerous_skills/agent-deep-research,completed,低风险,low,0,medium,weakly_suspicious,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,file_write|process_spawn|shell_execution,requires_web_platform|requires_external_api_key|requires_user_supplied_artifact|requires_interactive_prompting|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:03:15.263265+00:00,2026-04-27T03:03:31.362512+00:00
mnt_e_dangerous_skills_agent-manager-skill_agent-manager,agent-manager,/mnt/e/dangerous_skills/agent-manager-skill/agent-manager,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,prompt_injection_suspected,prompt_injection_suspected,insufficient_context,authored_skill_logic,static_only,,requires_oauth_or_login|requires_long_horizon_task|requires_interactive_prompting|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:03:32.638331+00:00,2026-04-27T03:03:32.638355+00:00
mnt_e_dangerous_skills_agent-mode_skills_post-bridge,post-bridge,/mnt/e/dangerous_skills/agent-mode/skills/post-bridge,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key|requires_long_horizon_task|requires_user_supplied_artifact|requires_local_helper_tooling,True,2026-04-27T03:03:32.932865+00:00,2026-04-27T03:03:41.350698+00:00
mnt_e_dangerous_skills_agent-nestjs-skills,nestjs-best-practices,/mnt/e/dangerous_skills/agent-nestjs-skills,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:03:41.513887+00:00,2026-04-27T03:04:41.762663+00:00
mnt_e_dangerous_skills_agent-rules-skill_skills_agent-rules,agent-rules,/mnt/e/dangerous_skills/agent-rules-skill/skills/agent-rules,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,file_write|process_spawn|shell_execution,requires_local_helper_tooling,True,2026-04-27T03:04:42.007722+00:00,2026-04-27T03:05:11.056611+00:00
mnt_e_dangerous_skills_agent-secret_skills_agent-secret,agent-secret,/mnt/e/dangerous_skills/agent-secret/skills/agent-secret,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key,True,2026-04-27T03:05:11.336117+00:00,2026-04-27T03:05:22.381978+00:00
mnt_e_dangerous_skills_agent-skill-excalidraw-diagram-builder,generating-excalidraw-architecture-diagrams,/mnt/e/dangerous_skills/agent-skill-excalidraw-diagram-builder,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_interactive_prompting|requires_local_helper_tooling,True,2026-04-27T03:05:22.566791+00:00,2026-04-27T03:05:39.073396+00:00
mnt_e_dangerous_skills_agent-skills_skills_materialize-docs,materialize-docs,/mnt/e/dangerous_skills/agent-skills/skills/materialize-docs,completed,低风险,low,0,low,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_callback_or_webhook|requires_long_horizon_task,True,2026-04-27T03:05:39.384588+00:00,2026-04-27T03:06:33.257295+00:00
mnt_e_dangerous_skills_agent-toolkit_skills_outseta,outseta,/mnt/e/dangerous_skills/agent-toolkit/skills/outseta,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_callback_or_webhook|requires_messaging_stack,True,2026-04-27T03:06:33.832029+00:00,2026-04-27T03:06:33.832053+00:00
mnt_e_dangerous_skills_agentaudit-skill,agentaudit-skill,/mnt/e/dangerous_skills/agentaudit-skill,completed,低风险,low,0,critical,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key|requires_long_horizon_task|requires_user_supplied_artifact|requires_local_helper_tooling,True,2026-04-27T03:06:33.961300+00:00,2026-04-27T03:06:52.598376+00:00
mnt_e_dangerous_skills_agentcast-ai_agentcast,agentcast,/mnt/e/dangerous_skills/agentcast-ai/agentcast,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_web_platform|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:06:52.822103+00:00,2026-04-27T03:07:05.035553+00:00
mnt_e_dangerous_skills_agentchat,agentchat,/mnt/e/dangerous_skills/agentchat,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:07:05.217695+00:00,2026-04-27T03:07:18.416500+00:00
mnt_e_dangerous_skills_agentguard_skills_agentguard,agentguard,/mnt/e/dangerous_skills/agentguard/skills/agentguard,skipped,,,,critical,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_callback_or_webhook|requires_long_horizon_task|requires_user_supplied_artifact|requires_interactive_prompting|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:07:19.151991+00:00,2026-04-27T03:07:19.152015+00:00
mnt_e_dangerous_skills_agentic-learn,agentic-learning,/mnt/e/dangerous_skills/agentic-learn,completed,低风险,low,0,medium,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_interactive_prompting,True,2026-04-27T03:07:19.359554+00:00,2026-04-27T03:08:15.784246+00:00
mnt_e_dangerous_skills_agentic-paper-digest-skill,agentic-paper-digest-skill,/mnt/e/dangerous_skills/agentic-paper-digest-skill,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,ambiguous_connected_workflow,mixed,trigger_incomplete,file_write|process_spawn,requires_web_platform|requires_external_api_key|requires_interactive_prompting|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:08:15.982258+00:00,2026-04-27T03:08:41.942452+00:00
mnt_e_dangerous_skills_agentic-seo-skill,seo,/mnt/e/dangerous_skills/agentic-seo-skill,skipped,,,,medium,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,browser_lightweight,browser_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_interactive_prompting|requires_local_helper_tooling,True,2026-04-27T03:08:44.210552+00:00,2026-04-27T03:08:44.210575+00:00
mnt_e_dangerous_skills_agents_utils_skills_telegram-mini-apps-react,telegram-mini-apps-react,/mnt/e/dangerous_skills/agents_utils/skills/telegram-mini-apps-react,completed,低风险,low,0,low,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_web_platform|requires_external_api_key|requires_messaging_stack,True,2026-04-27T03:08:44.500077+00:00,2026-04-27T03:09:05.655046+00:00
mnt_e_dangerous_skills_agentscale,agentscale,/mnt/e/dangerous_skills/agentscale,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key|requires_user_supplied_artifact,True,2026-04-27T03:09:05.835102+00:00,2026-04-27T03:09:16.775058+00:00
mnt_e_dangerous_skills_agentskills_nextjs-mantine-stack,nextjs-mantine-stack,/mnt/e/dangerous_skills/agentskills/nextjs-mantine-stack,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_local_helper_tooling,True,2026-04-27T03:09:17.175103+00:00,2026-04-27T03:11:30.913863+00:00
mnt_e_dangerous_skills_agentskills_tw-mantine,tw-mantine,/mnt/e/dangerous_skills/agentskills/tw-mantine,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,,True,2026-04-27T03:11:31.292911+00:00,2026-04-27T03:14:05.563984+00:00
mnt_e_dangerous_skills_agentspend,ferrite,/mnt/e/dangerous_skills/agentspend,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,base_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login|requires_local_helper_tooling,True,2026-04-27T03:14:06.437317+00:00,2026-04-27T03:14:06.437347+00:00
mnt_e_dangerous_skills_ahok-skill,ahok-memory,/mnt/e/dangerous_skills/ahok-skill,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key,True,2026-04-27T03:14:06.669265+00:00,2026-04-27T03:14:31.576693+00:00
mnt_e_dangerous_skills_ai-image-prompts-skill,ai-image-prompts-skill,/mnt/e/dangerous_skills/ai-image-prompts-skill,completed,低风险,low,0,low,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_web_platform|requires_external_api_key|requires_interactive_prompting|requires_local_helper_tooling|requires_document_or_office_stack|requires_messaging_stack,True,2026-04-27T03:14:31.740134+00:00,2026-04-27T03:14:42.285760+00:00
mnt_e_dangerous_skills_ai-landing,landing-gen,/mnt/e/dangerous_skills/ai-landing,completed,低风险,low,0,medium,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_external_api_key|requires_long_horizon_task,True,2026-04-27T03:14:42.534304+00:00,2026-04-27T03:14:58.876457+00:00
mnt_e_dangerous_skills_ai-skills_skills_justfile,justfile,/mnt/e/dangerous_skills/ai-skills/skills/justfile,completed,低风险,low,0,medium,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_web_platform|requires_interactive_prompting|requires_messaging_stack,True,2026-04-27T03:14:59.373346+00:00,2026-04-27T03:15:21.370049+00:00
mnt_e_dangerous_skills_ai-skills-warden,warden-dev,/mnt/e/dangerous_skills/ai-skills-warden,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login|requires_long_horizon_task|requires_interactive_prompting|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:15:22.046463+00:00,2026-04-27T03:15:22.046493+00:00
mnt_e_dangerous_skills_ai-video-creator-skill,ai-video-creator,/mnt/e/dangerous_skills/ai-video-creator-skill,completed,低风险,low,0,low,benign_like,partial,completed_full,,,browser_lightweight,browser_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_browser|requires_web_platform|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:15:22.308587+00:00,2026-04-27T03:15:35.091400+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-account,aicoin-account,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-account,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:15:35.404240+00:00,2026-04-27T03:16:09.905729+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-freqtrade,aicoin-freqtrade,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-freqtrade,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:16:10.198251+00:00,2026-04-27T03:16:19.591882+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-hyperliquid,aicoin-hyperliquid,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-hyperliquid,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,browser_lightweight,browser_lightweight,conditional,skill_design,unsafe_command_construction,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_browser|requires_web_platform|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:16:19.990005+00:00,2026-04-27T03:16:30.771731+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-market,aicoin-market,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-market,completed,低风险,low,0,low,weakly_suspicious,partial,completed_full,,,browser_lightweight,browser_lightweight,conditional,skill_design,unsafe_command_construction,unsafe_command_construction,tool_selection,trigger_incomplete,process_spawn|shell_execution,requires_browser|requires_web_platform|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:16:31.159044+00:00,2026-04-27T03:16:42.701861+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-onchain,aicoin-onchain,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-onchain,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,base_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:16:43.464042+00:00,2026-04-27T03:16:43.464100+00:00
mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-trading,aicoin-trading,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-trading,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,ready,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_local_helper_tooling,True,2026-04-27T03:16:43.810702+00:00,2026-04-27T03:16:53.557558+00:00
mnt_e_dangerous_skills_akash-skill,akash,/mnt/e/dangerous_skills/akash-skill,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_web_platform|requires_external_api_key|requires_long_horizon_task|requires_heavy_runtime,True,2026-04-27T03:16:53.725454+00:00,2026-04-27T03:19:08.976589+00:00
mnt_e_dangerous_skills_amap-lbs-skill,amap-lbs-skill,/mnt/e/dangerous_skills/amap-lbs-skill,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,base_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:19:09.502226+00:00,2026-04-27T03:19:09.502259+00:00
mnt_e_dangerous_skills_amap-skill_skills_amap,amap,/mnt/e/dangerous_skills/amap-skill/skills/amap,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_external_api_key|requires_local_helper_tooling,True,2026-04-27T03:19:09.821253+00:00,2026-04-27T03:21:32.133268+00:00
mnt_e_dangerous_skills_annas-to-notebooklm,annas-to-notebooklm,/mnt/e/dangerous_skills/annas-to-notebooklm,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_web_platform|requires_oauth_or_login|requires_heavy_runtime|requires_user_supplied_artifact|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:21:32.884613+00:00,2026-04-27T03:21:32.884636+00:00
mnt_e_dangerous_skills_antigravity-image-gen,antigravity-image-gen,/mnt/e/dangerous_skills/antigravity-image-gen,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,browser_lightweight,browser_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_oauth_or_login|requires_local_helper_tooling,True,2026-04-27T03:21:33.332659+00:00,2026-04-27T03:21:33.332684+00:00
mnt_e_dangerous_skills_antigravity-swarm,antigravity-swarm,/mnt/e/dangerous_skills/antigravity-swarm,completed,低风险,low,0,medium,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_long_horizon_task|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:21:33.517076+00:00,2026-04-27T03:24:04.371680+00:00
mnt_e_dangerous_skills_anysystem,anysystem-design,/mnt/e/dangerous_skills/anysystem,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_oauth_or_login|requires_user_supplied_artifact|requires_interactive_prompting|requires_messaging_stack,True,2026-04-27T03:24:04.949324+00:00,2026-04-27T03:24:04.949345+00:00
mnt_e_dangerous_skills_anything-to-notebooklm,qiaomu-anything-to-notebooklm,/mnt/e/dangerous_skills/anything-to-notebooklm,skipped,,,,medium,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_web_platform|requires_oauth_or_login|requires_external_api_key|requires_long_horizon_task|requires_heavy_runtime|requires_local_helper_tooling|requires_document_or_office_stack|requires_messaging_stack,True,2026-04-27T03:24:05.655537+00:00,2026-04-27T03:24:05.655562+00:00
mnt_e_dangerous_skills_apaas-object-skill,apaas-object-skill,/mnt/e/dangerous_skills/apaas-object-skill,completed,低风险,low,0,low,benign_like,partial,completed_full,,,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,file_write,requires_web_platform|requires_user_supplied_artifact|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:24:05.875655+00:00,2026-04-27T03:26:56.759791+00:00
mnt_e_dangerous_skills_api-to-mcp-skills,swagger-to-mcp,/mnt/e/dangerous_skills/api-to-mcp-skills,skipped,,,,medium,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,base_lightweight,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_web_platform|requires_oauth_or_login,True,2026-04-27T03:26:57.226960+00:00,2026-04-27T03:26:57.226980+00:00
mnt_e_dangerous_skills_apiosk-skill,apiosk-gateway,/mnt/e/dangerous_skills/apiosk-skill,completed,中风险,medium,25,medium,weakly_suspicious,partial,completed_full,,,base_lightweight,base_lightweight,conditional,llm_decision,llm_decision_induced_action,ambiguous_connected_workflow,mixed,trigger_incomplete,file_write|network_access,requires_web_platform|requires_external_api_key|requires_user_supplied_artifact,True,2026-04-27T03:26:57.382085+00:00,2026-04-27T03:27:41.794578+00:00
mnt_e_dangerous_skills_apple,OpenClaw with Apple,/mnt/e/dangerous_skills/apple,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_oauth_or_login|requires_external_api_key|requires_user_supplied_artifact|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:27:42.691220+00:00,2026-04-27T03:27:42.691241+00:00
mnt_e_dangerous_skills_apple_archive-full-version,OpenClaw with Apple,/mnt/e/dangerous_skills/apple/archive-full-version,skipped,,,,low,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_oauth_or_login|requires_external_api_key|requires_user_supplied_artifact|requires_local_helper_tooling|requires_document_or_office_stack,True,2026-04-27T03:27:43.715269+00:00,2026-04-27T03:27:43.715288+00:00
mnt_e_dangerous_skills_apple-search-ads-cli,apple-search-ads,/mnt/e/dangerous_skills/apple-search-ads-cli,completed,低风险,low,0,low,benign_like,partial,completed_full,,,base_lightweight,base_lightweight,conditional,unknown,unknown,insufficient_context,authored_skill_logic,trigger_incomplete,,requires_external_api_key|requires_interactive_prompting,True,2026-04-27T03:27:43.936559+00:00,2026-04-27T03:27:53.702214+00:00
mnt_e_dangerous_skills_ashby-cli,ashby,/mnt/e/dangerous_skills/ashby-cli,skipped,,,,medium,benign_like,partial,skipped_bounded,auth_or_external_account_required,auth_or_external_account_required,adapter_backed,adapter_backed,blocked,unknown,unknown,insufficient_context,authored_skill_logic,static_only,,requires_browser|requires_oauth_or_login|requires_external_api_key|requires_interactive_prompting|requires_local_helper_tooling|requires_messaging_stack,True,2026-04-27T03:27:54.226055+00:00,2026-04-27T03:27:54.226074+00:00
