sample_id,stratum,skill_id,skill_name,skill_root,status,risk_level,risk_score,execution_outcome,primary_chain_nonempty,primary_chain_length,predicted_root_cause,predicted_behaviors,cluster_tag,suspected_fp_type,candidate_manual_label,manual_label,manual_root_cause,manual_notes,review_priority,needs_manual_review,annotation_status,artifact_dir
S012,note_like_fp_cluster,mnt_e_dangerous_skills_audit-skills_skills_audit-skills,audit-skills,/mnt/e/dangerous_skills/audit-skills/skills/audit-skills,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/047940678fa740d2900e489b109751ec
S013,note_like_fp_cluster,mnt_e_dangerous_skills_finance-report-analyzer,finance-report-analyzer,/mnt/e/dangerous_skills/finance-report-analyzer,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/8f45e868a68c4331a91db73afc452cd4
S014,note_like_fp_cluster,mnt_e_dangerous_skills_memobank_skills_cold-start,cold-start,/mnt/e/dangerous_skills/memobank/skills/cold-start,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/6c1534ff26c54c6caeb2aee2d5898435
S015,note_like_fp_cluster,mnt_e_dangerous_skills_memobank_skills_mb-init,mb-init,/mnt/e/dangerous_skills/memobank/skills/mb-init,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/734302d66e964f5abd9d2541fca042da
S016,note_like_fp_cluster,mnt_e_dangerous_skills_memobank_skills_mb-review,mb-review,/mnt/e/dangerous_skills/memobank/skills/mb-review,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/06f390b28c3c4760a8a34cf784d087b9
S017,note_like_fp_cluster,mnt_e_dangerous_skills_node-aws-security-audit,node-aws-security-audit,/mnt/e/dangerous_skills/node-aws-security-audit,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/40d74aff67f9469ba106a49d064e0613
S018,note_like_fp_cluster,mnt_e_dangerous_skills_research-report-fetcher,research-report-fetcher,/mnt/e/dangerous_skills/research-report-fetcher,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",note_like_local_output,note_report_inventory_or_mirror,likely_benign,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/a29fb82a95594b5f80af641567046c94
S019,upload_or_mirror_outward,mnt_e_dangerous_skills_kysely-postgres-skill,kysely-postgres,/mnt/e/dangerous_skills/kysely-postgres-skill,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",upload_or_mirror_outward,upload_sync_relay_surface,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/aab726b1d85a44c09e5fe05b8dbc9e97
S020,upload_or_mirror_outward,mnt_e_dangerous_skills_posteyskills_skills_postey,postey,/mnt/e/dangerous_skills/posteyskills/skills/postey,completed,medium,25,completed_full,False,0,llm_decision_induced_action,"network_access, process_spawn, shell_execution",upload_or_mirror_outward,upload_sync_relay_surface,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/c7212813073a487994624acb20e13f65
S021,upload_or_mirror_outward,mnt_e_dangerous_skills_redbook-creator-publish,redbook-creator-publish,/mnt/e/dangerous_skills/redbook-creator-publish,completed,medium,25,completed_full,False,0,llm_decision_induced_action,"network_access, process_spawn",upload_or_mirror_outward,upload_sync_relay_surface,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/ddca15c56722453383773b7c3d88e6fa
S022,llm_decision_heavy,mnt_e_dangerous_skills_agent-nestjs-skills,nestjs-best-practices,/mnt/e/dangerous_skills/agent-nestjs-skills,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",llm_decision_heavy,llm_mediated_workflow,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/4f58feef2f4f4eb497d6dbdb621a193a
S023,llm_decision_heavy,mnt_e_dangerous_skills_agent-rules-skill_skills_agent-rules,agent-rules,/mnt/e/dangerous_skills/agent-rules-skill/skills/agent-rules,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",llm_decision_heavy,llm_mediated_workflow,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/cb11b3004bc4403194b4d5cc7a0bbea9
S024,llm_decision_heavy,mnt_e_dangerous_skills_agent-secret_skills_agent-secret,agent-secret,/mnt/e/dangerous_skills/agent-secret/skills/agent-secret,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access, process_spawn, shell_execution",llm_decision_heavy,llm_mediated_workflow,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/9b9124947c484d608cbd6191e41b467f
S025,llm_decision_heavy,mnt_e_dangerous_skills_agent-skills_skills_materialize-docs,materialize-docs,/mnt/e/dangerous_skills/agent-skills/skills/materialize-docs,completed,critical,100,completed_full,True,4,llm_decision_induced_action,"file_write, network_access",llm_decision_heavy,llm_mediated_workflow,,,,,high,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/2088349bc3a744a0b42f3967d06c5f4f
S026,representative_low_risk,mnt_e_dangerous_skills_apiosk-skill,apiosk-gateway,/mnt/e/dangerous_skills/apiosk-skill,completed,low,0,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,likely_benign,,,,low,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/3753e77ffaf84d26bf7981085f027179
S027,representative_low_risk,mnt_e_dangerous_skills_capability-evolver,capability-evolver,/mnt/e/dangerous_skills/capability-evolver,completed,low,0,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,likely_benign,,,,low,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/7e690a1033334f81bca8d928dc0f04ab
S028,representative_low_risk,mnt_e_dangerous_skills_chinese-lottery-predict-skills,chinese-lottery-predict,/mnt/e/dangerous_skills/chinese-lottery-predict-skills,completed,low,0,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,likely_benign,,,,low,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/b1302f548a064443b8efafd9af11d77a
S029,representative_low_risk,mnt_e_dangerous_skills_eigen-skills_skills_eigen-avs,eigen-avs,/mnt/e/dangerous_skills/eigen-skills/skills/eigen-avs,completed,low,0,completed_full,False,0,llm_decision_induced_action,network_access,llm_decision_heavy,llm_mediated_workflow,likely_benign,,,,low,True,sampled-manual-review-pending,/root/projects/ProvLoom/artifacts/runs/cb26cc5b231d48a6a4c4e1fd7c645205
