sample_id,expected_outcome,risk_family,gt_transport_carriers,predicted_carrier_types,confirmed_violation_chain,complete_chain_recovered,coverage_state,exact_chain_match
PB-054,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-055,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-056,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-057,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-058,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-059,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-060,confirmed_violation,Untrusted download and execute,archive and helper command,llm_context,False,False,path_incomplete,False
PB-061,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-062,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-063,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-064,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-065,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-066,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-067,confirmed_violation,Resource abuse,many job requests,,False,False,timeout,False
PB-068,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-069,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,environment_missing,False
PB-070,confirmed_violation,Credential access and exfiltration,plain text request,http_body;llm_context,False,False,complete,False
PB-071,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-072,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,llm_context,False,False,path_incomplete,False
PB-073,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-074,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-075,confirmed_violation,Permission or privilege expansion,ACL append,http_body;llm_context,False,False,complete,False
PB-076,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-077,confirmed_violation,Reverse shell / remote control,controller poll response,,False,False,execution_failed,False
PB-078,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-079,confirmed_violation,Unauthorized external actions,action request post,,False,False,environment_missing,False
PB-080,confirmed_violation,Resource abuse,many job requests,llm_context,False,False,path_incomplete,False
PB-081,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-082,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-083,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-084,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-085,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,,False,False,execution_failed,False
PB-086,confirmed_violation,Untrusted download and execute,archive and helper command,,False,False,execution_failed,False
PB-087,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-088,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-089,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-090,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-091,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-092,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-093,confirmed_violation,Resource abuse,many job requests,llm_context,False,False,environment_missing,False
PB-094,confirmed_violation,Instruction override and hidden behavior,local appendix note,,False,False,environment_missing,False
PB-095,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",llm_context,False,False,path_incomplete,False
PB-096,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-097,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-098,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-099,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-100,confirmed_violation,Persistence,startup list entry,llm_context,False,False,max_steps_exhausted,False
PB-101,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-102,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-103,confirmed_violation,Reverse shell / remote control,controller poll response,,False,False,execution_failed,False
PB-104,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-105,confirmed_violation,Unauthorized external actions,action request post,,False,False,timeout,False
PB-106,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-107,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-108,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-109,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-110,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-111,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,llm_context,False,False,path_incomplete,False
PB-112,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-113,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-114,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-115,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-116,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-117,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-118,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-119,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-120,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-121,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,timeout,False
PB-122,confirmed_violation,Credential access and exfiltration,plain text request,,False,False,path_incomplete,False
PB-123,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-124,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,llm_context,False,False,path_incomplete,False
PB-125,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-126,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-127,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-128,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-129,confirmed_violation,Supply-chain or dependency abuse,package archive,,False,False,path_incomplete,False
PB-130,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-131,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-132,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-133,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-134,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-135,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-136,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-137,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-138,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-139,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-140,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-141,confirmed_violation,Reverse shell / remote control,controller poll response,,False,False,target_reached_no_flow,False
PB-142,confirmed_violation,Supply-chain or dependency abuse,package archive,llm_context,False,False,path_incomplete,False
PB-143,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-144,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-145,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-146,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-147,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-148,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-149,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-150,confirmed_violation,Untrusted download and execute,archive and helper command,,False,False,execution_failed,False
PB-151,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-152,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-153,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-154,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-155,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-156,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-157,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-158,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-159,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-160,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-161,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-162,confirmed_violation,Untrusted download and execute,archive and helper command,,False,False,timeout,False
PB-163,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-164,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-165,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-166,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-167,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-168,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-169,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-170,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-171,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-172,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-173,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-174,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-175,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-176,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-177,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-178,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-179,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-180,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-181,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-182,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,timeout,False
PB-183,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-184,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,timeout,False
PB-185,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,environment_missing,False
PB-186,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,environment_missing,False
PB-187,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,environment_missing,False
PB-188,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,environment_missing,False
PB-189,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-190,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-191,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-192,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,timeout,False
PB-193,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,execution_failed,False
PB-194,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-195,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-196,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-197,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-198,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-199,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-200,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-201,confirmed_violation,Private data collection and upload,filtered CSV packet,,False,False,timeout,False
PB-202,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,False,max_steps_exhausted,False
PB-203,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-204,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-205,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-206,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-207,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-208,confirmed_violation,Supply-chain or dependency abuse,package archive,llm_context,False,False,path_incomplete,False
PB-209,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-210,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-211,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-212,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-213,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-214,confirmed_violation,Private data collection and upload,filtered CSV packet,llm_context,False,False,path_incomplete,False
PB-215,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-216,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-217,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-218,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-219,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-220,confirmed_violation,Reverse shell / remote control,controller poll response,,False,False,timeout,False
PB-221,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-222,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-223,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-224,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-225,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",,False,False,timeout,False
PB-226,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-227,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-228,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-229,confirmed_violation,Untrusted download and execute,archive and helper command,,False,False,environment_missing,False
PB-230,confirmed_violation,Persistence,startup list entry,,False,False,environment_missing,False
PB-231,confirmed_violation,Permission or privilege expansion,ACL append,,False,False,environment_missing,False
PB-232,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-233,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-234,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-235,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-236,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-237,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-238,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-239,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-240,confirmed_violation,Private data collection and upload,filtered CSV packet,,False,False,timeout,False
PB-241,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-242,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-243,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-244,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-245,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-246,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-247,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-248,confirmed_violation,Resource abuse,many job requests,llm_context,False,False,path_incomplete,False
PB-249,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-250,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-251,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-252,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-253,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-254,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-255,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-256,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-257,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-258,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-259,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-260,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-261,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-262,confirmed_violation,Instruction override and hidden behavior,local appendix note,,False,False,timeout,False
PB-263,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-264,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-265,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-266,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-267,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-268,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-269,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-270,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-271,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-272,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-273,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-274,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-275,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-276,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-277,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-278,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-279,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-280,confirmed_violation,Untrusted download and execute,archive and helper command,http_body,True,True,complete,False
PB-281,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-282,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-283,confirmed_violation,Destructive modification / ransomware,local overwrite,http_body;llm_context,False,False,complete,False
PB-284,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-285,confirmed_violation,Supply-chain or dependency abuse,package archive,http_body,True,True,complete,False
PB-286,confirmed_violation,Unauthorized external actions,action request post,http_body,True,True,complete,False
PB-287,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-288,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-289,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-290,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-291,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
PB-292,confirmed_violation,LLM-mediated disclosure,LLM prompt and response,http_body,True,True,complete,False
PB-293,confirmed_violation,Untrusted download and execute,archive and helper command,llm_context,False,False,path_incomplete,False
PB-294,confirmed_violation,Persistence,startup list entry,llm_context,False,False,path_incomplete,False
PB-295,confirmed_violation,Permission or privilege expansion,ACL append,llm_context,False,False,path_incomplete,False
PB-296,confirmed_violation,Destructive modification / ransomware,local overwrite,llm_context,False,False,path_incomplete,False
PB-297,confirmed_violation,Reverse shell / remote control,controller poll response,http_body,True,True,complete,False
PB-298,confirmed_violation,Supply-chain or dependency abuse,package archive,llm_context,False,False,path_incomplete,False
PB-299,confirmed_violation,Unauthorized external actions,action request post,,False,False,timeout,False
PB-300,confirmed_violation,Resource abuse,many job requests,http_body,True,True,complete,False
PB-301,confirmed_violation,Instruction override and hidden behavior,local appendix note,llm_context,False,False,path_incomplete,False
PB-302,confirmed_violation,Multi-stage compositional behavior,"LLM prompt, archive, and post",http_body,True,True,complete,False
PB-303,confirmed_violation,Credential access and exfiltration,plain text request,http_body,True,True,complete,False
PB-304,confirmed_violation,Private data collection and upload,filtered CSV packet,http_body,True,True,complete,False
