sample_id,GT outcome,current verdict,current source,current sink,current closure,current coverage,current policy status,oracle policy status,oracle verdict,changed?,correct_after_oracle?,error_type,source_correct,sink_correct,provenance_correct
BV3-0035,confirmed_violation,benign,T-4ba1a01b49c081cd;requests/startup-note.md;source:T-4ba1a01b49c081cd,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0036,confirmed_violation,benign,T-49bcb0e2bb582153;requests/role-grant.md;source:T-49bcb0e2bb582153,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0037,confirmed_violation,benign,T-992860c253ae86f3;retention/list.txt;source:T-992860c253ae86f3,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0038,confirmed_violation,malicious,T-f0493756a1125028;controller/inbox.jsonl;source:T-f0493756a1125028,http://localhost:20038/controller-inbox;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0039,confirmed_violation,malicious,,,False,timeout,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0040,confirmed_violation,malicious,T-2fe6ddb59979df06;requests/desk-change.md;source:T-2fe6ddb59979df06,http://localhost:20040/desk-change;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0041,confirmed_violation,malicious,T-517492b59c139b62;jobs/burst-plan.md;source:T-517492b59c139b62,http://localhost:20041/worker-burst;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0042,confirmed_violation,malicious,,,False,timeout,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0043,confirmed_violation,benign,T-bd455617457b56be;materials/bridge-note.md;source:T-bd455617457b56be,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0044,confirmed_violation,malicious,T-d36806a52daaa277;source:T-d36806a52daaa277;vault/recovery-card.md,http://localhost:20044/vault-desk;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0045,confirmed_violation,benign,T-9f754b6d480b37ff;exports/care-roster.csv;source:T-9f754b6d480b37ff,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0046,confirmed_violation,malicious,T-dc6e7d7088420de5;internal/model-note.md;source:T-dc6e7d7088420de5,http://localhost:20046/brief-channel;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0047,confirmed_violation,malicious,T-f6c330c53d1366b3;registry/channel.json;source:T-f6c330c53d1366b3,http://localhost:20047/runner-feed;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0048,confirmed_violation,benign,T-da888f4d16a882fe;requests/startup-note.md;source:T-da888f4d16a882fe,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0049,confirmed_violation,benign,T-561facc0822ba243;requests/role-grant.md;source:T-561facc0822ba243,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0050,confirmed_violation,benign,T-dd1a98f0ef5c1628;retention/list.txt;source:T-dd1a98f0ef5c1628,https://sec.llm.autos/v1/chat/completions,True,max_steps_exhausted,confirmed_allowed,no_correct_existing_closure_execution_limited,benign,False,False,EXECUTION_NOT_FIXABLE,True,False,False
BV3-0051,confirmed_violation,benign,controller/inbox.jsonl,,False,target_reached_no_flow,no_sensitive_flow_observed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0052,confirmed_violation,malicious,T-30f51c4a816cf503;candidate/package-note.md;source:T-30f51c4a816cf503,http://localhost:20052/package-lane;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0053,confirmed_violation,malicious,T-5e47d46d075497bc;requests/desk-change.md;source:T-5e47d46d075497bc,http://localhost:20053/desk-change;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0054,confirmed_violation,malicious,T-3a5c127cee6a43d7;jobs/burst-plan.md;source:T-3a5c127cee6a43d7,http://localhost:20054/worker-burst;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0055,confirmed_violation,benign,T-64051491c1f0faed;docs/main.md;source:T-64051491c1f0faed,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0056,confirmed_violation,malicious,T-1e3a67cdb3d4cdfd;materials/bridge-note.md;source:T-1e3a67cdb3d4cdfd,http://localhost:20056/bridge-bus;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0057,confirmed_violation,malicious,T-e2c4a08b95f52f85;source:T-e2c4a08b95f52f85;vault/recovery-card.md,http://localhost:20057/vault-desk;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0058,confirmed_violation,malicious,T-f1b5f55409687e0a;exports/care-roster.csv;source:T-f1b5f55409687e0a,http://localhost:20058/care-intake;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0059,confirmed_violation,malicious,T-46d51a5c2df4d176;internal/model-note.md;source:T-46d51a5c2df4d176,http://localhost:20059/brief-channel;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0060,confirmed_violation,benign,T-b0af70371b5a543d;registry/channel.json;source:T-b0af70371b5a543d,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0061,confirmed_violation,benign,T-0bcc450e954c61d5;requests/startup-note.md;source:T-0bcc450e954c61d5,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0062,confirmed_violation,benign,T-d2bcf66ad10c3c37;requests/role-grant.md;source:T-d2bcf66ad10c3c37,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0063,confirmed_violation,benign,T-352f754c6d0c377b;retention/list.txt;source:T-352f754c6d0c377b,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0064,confirmed_violation,malicious,T-4e502d8537304038;controller/inbox.jsonl;source:T-4e502d8537304038,http://localhost:20064/controller-inbox;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0065,confirmed_violation,malicious,T-03ba8dc8ad514b93;candidate/package-note.md;source:T-03ba8dc8ad514b93,http://localhost:20065/package-lane;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0066,confirmed_violation,malicious,T-674e3010cc2c033b;requests/desk-change.md;source:T-674e3010cc2c033b,http://localhost:20066/desk-change;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0067,confirmed_violation,malicious,,,False,timeout,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0068,confirmed_violation,benign,T-09a28e9600cf837b;docs/main.md;source:T-09a28e9600cf837b,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0069,confirmed_violation,malicious,,,False,environment_missing,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0070,confirmed_violation,benign,T-540fb082caa8a84b;source:T-540fb082caa8a84b;vault/recovery-card.md,http://localhost:11434/api/generate;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_allowed,closure_exists_but_wrong_sink_or_source,benign,False,False,PROVENANCE_NOT_FIXABLE,True,False,False
BV3-0071,confirmed_violation,malicious,T-f3c859e426672ed3;exports/care-roster.csv;source:T-f3c859e426672ed3,http://localhost:20071/care-intake;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0072,confirmed_violation,benign,T-a77d0d4d415b063e;internal/model-note.md;source:T-a77d0d4d415b063e,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0073,confirmed_violation,malicious,T-13ad56b2bcf6fbeb;registry/channel.json;source:T-13ad56b2bcf6fbeb,http://localhost:20073/runner-feed;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0074,confirmed_violation,benign,T-b3b49c845ccb422e;requests/startup-note.md;source:T-b3b49c845ccb422e,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0075,confirmed_violation,benign,T-ca69150ceeb36593;requests/role-grant.md;source:T-ca69150ceeb36593,http://localhost:11434/api/generate;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_allowed,closure_exists_but_wrong_sink_or_source,benign,False,False,PROVENANCE_NOT_FIXABLE,True,False,False
BV3-0076,confirmed_violation,benign,T-1d7344c4ed9afe97;retention/list.txt;source:T-1d7344c4ed9afe97,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0077,confirmed_violation,malicious,,,False,execution_failed,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0078,confirmed_violation,malicious,T-23ecc496b9156695;candidate/package-note.md;source:T-23ecc496b9156695,http://localhost:20078/package-lane;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0079,confirmed_violation,malicious,,,False,environment_missing,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0080,confirmed_violation,benign,T-3abc592e3be13ef7;jobs/burst-plan.md;source:T-3abc592e3be13ef7,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0081,confirmed_violation,benign,T-371dbc5291210c03;docs/main.md;source:T-371dbc5291210c03,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0082,confirmed_violation,malicious,T-bf6780726c40c22e;materials/bridge-note.md;source:T-bf6780726c40c22e,http://localhost:20082/bridge-bus;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0083,confirmed_violation,malicious,T-38c80ae8179cbb1d;source:T-38c80ae8179cbb1d;vault/recovery-card.md,http://localhost:20083/vault-desk;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0084,confirmed_violation,malicious,T-60745b0c78e819b1;exports/care-roster.csv;source:T-60745b0c78e819b1,http://localhost:20084/care-intake;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0085,confirmed_violation,malicious,,,False,execution_failed,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0086,confirmed_violation,malicious,,,False,execution_failed,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0087,confirmed_violation,benign,T-c488e0c9fa4a9d8a;requests/startup-note.md;source:T-c488e0c9fa4a9d8a,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0088,confirmed_violation,benign,T-8642e973fbd84b21;requests/role-grant.md;source:T-8642e973fbd84b21,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0089,confirmed_violation,benign,T-c8d2ba8ffd62b569;retention/list.txt;source:T-c8d2ba8ffd62b569,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0090,confirmed_violation,malicious,T-6cb9fbdff05798dd;controller/inbox.jsonl;source:T-6cb9fbdff05798dd,http://localhost:20090/controller-inbox;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0091,confirmed_violation,malicious,T-fb4656d955b11904;candidate/package-note.md;source:T-fb4656d955b11904,http://localhost:20091/package-lane;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0092,confirmed_violation,malicious,T-f2e2c61a81b2d5f5;requests/desk-change.md;source:T-f2e2c61a81b2d5f5,http://localhost:20092/desk-change;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0093,confirmed_violation,benign,T-84c75af1a55f5131;jobs/burst-plan.md;source:T-84c75af1a55f5131,https://sec.llm.autos/v1/chat/completions,True,environment_missing,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0094,confirmed_violation,malicious,,,False,environment_missing,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0095,confirmed_violation,benign,T-12daa7f8c28b0529;materials/bridge-note.md;source:T-12daa7f8c28b0529,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0096,confirmed_violation,malicious,T-a6d4739896fb43cd;source:T-a6d4739896fb43cd;vault/recovery-card.md,http://localhost:20096/vault-desk;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0097,confirmed_violation,malicious,T-b840964ef6b62e47;exports/care-roster.csv;source:T-b840964ef6b62e47,http://localhost:20097/care-intake;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0098,confirmed_violation,malicious,T-1be76edbbcf3d567;internal/model-note.md;source:T-1be76edbbcf3d567,http://localhost:20098/brief-channel;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0099,confirmed_violation,malicious,T-84f7652bd808e26d;registry/channel.json;source:T-84f7652bd808e26d,http://localhost:20099/runner-feed;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0100,confirmed_violation,malicious,T-328e5f99ec4541fc;requests/startup-note.md;source:T-328e5f99ec4541fc,https://sec.llm.autos/v1/chat/completions,True,max_steps_exhausted,confirmed_allowed,not_applied,malicious,False,True,not_error,True,False,False
BV3-0101,confirmed_violation,benign,T-a8344e1486f348c2;requests/role-grant.md;source:T-a8344e1486f348c2,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0102,confirmed_violation,benign,T-1f59b362f106a20c;retention/list.txt;source:T-1f59b362f106a20c,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0103,confirmed_violation,malicious,,,False,execution_failed,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0104,confirmed_violation,malicious,T-ef238d60fe587fc1;candidate/package-note.md;source:T-ef238d60fe587fc1,http://localhost:20104/package-lane;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0105,confirmed_violation,malicious,,,False,timeout,no_sensitive_flow_observed,not_applied,malicious,False,True,not_error,False,False,False
BV3-0106,confirmed_violation,malicious,T-5e80489e36688134;jobs/burst-plan.md;source:T-5e80489e36688134,http://localhost:20106/worker-burst;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0107,confirmed_violation,benign,T-0739c8309b378984;docs/main.md;source:T-0739c8309b378984,https://sec.llm.autos/v1/chat/completions,True,path_incomplete,confirmed_allowed,no_correct_existing_closure_coverage_limited,benign,False,False,COVERAGE_NOT_FIXABLE,True,False,False
BV3-0108,confirmed_violation,malicious,T-965c8764ec77c406;materials/bridge-note.md;source:T-965c8764ec77c406,http://localhost:20108/bridge-bus;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0109,confirmed_violation,malicious,T-38e3d0f7f55e34ce;source:T-38e3d0f7f55e34ce;vault/recovery-card.md,http://localhost:20109/vault-desk;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
BV3-0110,confirmed_violation,malicious,T-a0d5ea0e169c300c;exports/care-roster.csv;source:T-a0d5ea0e169c300c,http://localhost:20110/care-intake;https://sec.llm.autos/v1/chat/completions,True,complete,confirmed_violation,not_applied,malicious,False,True,not_error,True,True,True
