sample_id,expected_outcome,predicted_label,source_match,sink_match,relay_match,exact_chain_match,minimal_witness_match,predicted_chain_count,coverage_state
PB-030,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-031,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-032,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-033,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-034,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-035,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-036,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-037,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-038,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-039,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-040,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-041,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-042,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-043,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-044,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-045,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-046,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-047,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-048,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-049,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-050,confirmed_violation,benign,True,False,False,False,False,1,max_steps_exhausted
PB-051,confirmed_violation,benign,False,False,False,False,False,0,target_reached_no_flow
PB-052,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-053,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-054,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-055,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-056,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-057,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-058,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-059,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-060,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-061,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-062,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-063,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-064,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-065,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-066,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-067,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-068,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-069,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-070,confirmed_violation,benign,True,False,False,False,False,2,complete
PB-071,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-072,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-073,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-074,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-075,confirmed_violation,benign,True,False,False,False,False,2,complete
PB-076,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-077,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-078,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-079,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-080,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-081,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-082,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-083,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-084,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-085,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-086,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-087,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-088,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-089,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-090,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-091,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-092,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-093,confirmed_violation,benign,True,False,False,False,False,1,environment_missing
PB-094,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-095,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-096,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-097,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-098,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-099,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-100,confirmed_violation,malicious,True,False,False,False,False,1,max_steps_exhausted
PB-101,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-102,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-103,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-104,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-105,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-106,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-107,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-108,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-109,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-110,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-111,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-112,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-113,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-114,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-115,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-116,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-117,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-118,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-119,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-120,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-121,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-122,confirmed_violation,malicious,False,False,False,False,False,0,path_incomplete
PB-123,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-124,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-125,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-126,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-127,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-128,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-129,confirmed_violation,malicious,False,False,False,False,False,0,path_incomplete
PB-130,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-131,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-132,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-133,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-134,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-135,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-136,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-137,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-138,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-139,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-140,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-141,confirmed_violation,benign,False,False,False,False,False,0,target_reached_no_flow
PB-142,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-143,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-144,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-145,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-146,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-147,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-148,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-149,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-150,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-151,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-152,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-153,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-154,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-155,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-156,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-157,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-158,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-159,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-160,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-161,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-162,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-163,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-164,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-165,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-166,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-167,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-168,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-169,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-170,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-171,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-172,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-173,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-174,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-175,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-176,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-177,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-178,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-179,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-180,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-181,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-182,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-183,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-184,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-185,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-186,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-187,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-188,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-189,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-190,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-191,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-192,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-193,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-194,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-195,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-196,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-197,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-198,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-199,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-200,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-201,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-202,confirmed_violation,malicious,True,True,False,False,False,1,max_steps_exhausted
PB-203,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-204,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-205,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-206,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-207,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-208,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-209,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-210,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-211,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-212,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-213,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-214,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-215,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-216,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-217,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-218,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-219,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-220,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-221,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-222,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-223,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-224,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-225,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-226,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-227,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-228,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-229,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-230,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-231,confirmed_violation,malicious,False,False,False,False,False,0,environment_missing
PB-232,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-233,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-234,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-235,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-236,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-237,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-238,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-239,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-240,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-241,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-242,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-243,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-244,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-245,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-246,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-247,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-248,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-249,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-250,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-251,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-252,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-253,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-254,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-255,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-256,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-257,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-258,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-259,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-260,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-261,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-262,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-263,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-264,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-265,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-266,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-267,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-268,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-269,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-270,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-271,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-272,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-273,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-274,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-275,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-276,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-277,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-278,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-279,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-280,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-281,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-282,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-283,confirmed_violation,benign,True,False,False,False,False,2,complete
PB-284,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-285,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-286,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-287,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-288,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-289,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-290,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-291,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-292,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-293,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-294,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-295,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-296,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-297,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-298,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-299,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-300,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-301,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-302,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-303,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-304,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-305,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-306,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-307,confirmed_violation,malicious,False,False,False,False,False,0,execution_failed
PB-308,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-309,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-310,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-311,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-312,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-313,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-314,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-315,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-316,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-317,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-318,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-319,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-320,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-321,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-322,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-323,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-324,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-325,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-326,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-327,confirmed_violation,malicious,False,False,False,False,False,0,path_incomplete
PB-328,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-329,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-330,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-331,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-332,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-333,confirmed_violation,malicious,True,False,False,False,False,1,path_incomplete
PB-334,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-335,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-336,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-337,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-338,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-339,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-340,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-341,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-342,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-343,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-344,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-345,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-346,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-347,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-348,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-349,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-350,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-351,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-352,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-353,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-354,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-355,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-356,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-357,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-358,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-359,confirmed_violation,benign,True,False,False,False,False,1,path_incomplete
PB-360,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-361,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-362,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-363,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-364,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-365,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-366,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-367,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-368,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-369,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-370,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-371,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-372,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-373,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-374,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-375,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-376,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-377,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-378,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-379,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-380,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-381,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-382,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-383,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-384,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-385,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-386,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-387,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-388,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-389,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-390,confirmed_violation,malicious,False,False,False,False,False,0,timeout
PB-391,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-392,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-393,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-394,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-395,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-396,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-397,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-398,confirmed_violation,malicious,True,True,False,False,False,1,complete
PB-399,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-400,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-401,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-402,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-403,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-404,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-405,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-406,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-407,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-408,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-409,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-410,benign_lookalike,benign,False,False,False,False,True,0,timeout
PB-411,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-412,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-413,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-414,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-415,benign_lookalike,benign,False,False,False,False,False,0,path_incomplete
PB-416,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-417,benign_lookalike,benign,False,False,False,False,True,0,path_incomplete
PB-418,benign_lookalike,benign,False,False,False,False,False,0,path_incomplete
